card_id_a,card_id_b,card_id_c,image_id,location_id,description,street_number,street,city,county,latitude,longitude,notes
D32,2943,0,1,1,Tampa International Airport,,,Tampa,Hillsborough,27.982087,-82.4564276,
D32,2944,0,1,1,Tampa International Airport,,,Tampa,Hillsborough,27.982087,-82.464022,
D32,2945,0,1,1,"Tampa, FL",,,Tampa,Hillsborough,27.949364,-82.464022,
D32,2946,1,1,1,University of Tampa,,,Tampa,Hillsborough,27.947545,-82.464022,
D32,2946,2,1,1,University of Tampa,,,Tampa,Hillsborough,27.947545,-82.4562914,
D32,2947,0,1,1,Wolf Brothers Store,221,University Square,Tampa,Hillsborough,28.047108,-82.4562914,
D32,2948,1,1,1,Alvin Magnon Jewelers,110,North Westshore Boulevard,Tampa,Hillsborough,27.945237,-82.4597727,Unknown intersection in downtown to pinpoint exact location of this building.
D32,2948,2,1,1,Alvin Magnon Jewelers,110,North Westshore Boulevard,Tampa,Hillsborough,27.945237,-82.481125,
D32,2949,1,1,1,Bayshore Boulevard,,Bayshore Boulevard,Tampa,Hillsborough,27.930411,-82.4562914,
D32,2949,2,1,1,Bayshore Boulevard,,Bayshore Boulevard,Tampa,Hillsborough,27.930411,-82.27066,
D32,2950,0,1,1,University of Tampa,,,Tampa,Hillsborough,29.947545,-82.035778,
D32,2951,0,1,1,Hayman Jewelry Co.,826,Franklin Street,Tampa,Hillsborough,27.951315,-82.035778,The picture on the postcard is an ad for the jewelry store
D32,2952,0,1,1,Franklin Street,,Franklin Street,Tampa,Hillsborough,27.954103,-82.035778,
D32,2953,0,1,1,"Tampa, Florida Docks",,,Tampa,Hillsborough,,-82.4562914,
D32,2954,0,1,1,University of South Florida,,,Tampa,Hillsborough,28.061169,-82.464022,
D32,2955,0,1,1,Gasparilla Invasion,,,Tampa,Hillsborough,,-82.464022,
D32,2956,0,1,1,"Aerial view of Tampa, Florida",,,Tampa,Hillsborough,27.947545,-82.464022,
D32,2957,0,1,1,Bayshore Boulevard,,Bayshore Boulevard,Tampa,Hillsborough,27.930411,-82.464022,
D32,2958,1,1,1,Tampa City Hall,315,East Kennedy Boulevad,Tampa,Hillsborough,27.9477731,-82.464022,formerly located on the corner of Lafeyette and Florida Street.
